state,state_name,year,ethanol_beer_gallons_per_capita,ethanol_wine_gallons_per_capita,ethanol_spirit_gallons_per_capita,ethanol_all_drinks_gallons_per_capita,number_of_beers,number_of_glasses_wine,number_of_shots_liquor,number_of_drinks_total
idaho,Idaho,2022,0.74,0.29,0.88,1.91,175.4074,57.5504,182.7088,407.4667
idaho,Idaho,2023,0.69,0.28,0.85,1.82,163.5556,55.5659,176.4801,388.2667
illinois,Illinois,1977,1.32,0.3,1.2,2.82,312.8889,59.5349,249.1484,601.6
illinois,Illinois,1978,1.35,0.31,1.17,2.83,320.0,61.5194,242.9197,603.7333
illinois,Illinois,1979,1.42,0.32,1.15,2.89,336.5926,63.5039,238.7672,616.5333
illinois,Illinois,1980,1.42,0.33,1.23,2.99,336.5926,65.4884,255.3771,637.8667
illinois,Illinois,1981,1.44,0.35,1.12,2.91,341.3333,69.4574,232.5385,620.8
illinois,Illinois,1982,1.42,0.35,1.07,2.84,336.5926,69.4574,222.1573,605.8667
illinois,Illinois,1983,1.43,0.35,1.03,2.82,338.963,69.4574,213.8524,601.6
illinois,Illinois,1984,1.41,0.37,1.02,2.8,334.2222,73.4264,211.7762,597.3333
illinois,Illinois,1985,1.39,0.38,0.99,2.76,329.4815,75.4109,205.5474,588.8
illinois,Illinois,1986,1.42,0.39,0.91,2.72,336.5926,77.3953,188.9376,580.2667
illinois,Illinois,1987,1.43,0.39,0.88,2.71,338.963,77.3953,182.7088,578.1333
illinois,Illinois,1988,1.45,0.38,0.87,2.7,343.7037,75.4109,180.6326,576.0
illinois,Illinois,1989,1.42,0.36,0.85,2.63,336.5926,71.4419,176.4801,561.0667
illinois,Illinois,1990,1.43,0.36,0.82,2.62,338.963,71.4419,170.2514,558.9333
illinois,Illinois,1991,1.38,0.34,0.76,2.48,327.1111,67.4729,157.794,529.0667
illinois,Illinois,1992,1.34,0.35,0.74,2.43,317.6296,69.4574,153.6415,518.4
illinois,Illinois,1993,1.32,0.34,0.72,2.38,312.8889,67.4729,149.4891,507.7333
illinois,Illinois,1994,1.32,0.34,0.69,2.35,312.8889,67.4729,143.2603,501.3333
illinois,Illinois,1995,1.3,0.33,0.66,2.29,308.1481,65.4884,137.0316,488.5333
illinois,Illinois,1996,1.27,0.35,0.68,2.3,301.037,69.4574,141.1841,490.6667
illinois,Illinois,1997,1.26,0.35,0.65,2.26,298.6667,69.4574,134.9554,482.1333
illinois,Illinois,1998,1.27,0.34,0.64,2.25,301.037,67.4729,132.8792,480.0
illinois,Illinois,1999,1.29,0.33,0.66,2.27,305.7778,65.4884,137.0316,484.2667
illinois,Illinois,2000,1.28,0.32,0.63,2.24,303.4074,63.5039,130.8029,477.8667
illinois,Illinois,2001,1.27,0.32,0.68,2.28,301.037,63.5039,141.1841,486.4
illinois,Illinois,2002,1.28,0.33,0.65,2.26,303.4074,65.4884,134.9554,482.1333
illinois,Illinois,2003,1.26,0.35,0.74,2.36,298.6667,69.4574,153.6415,503.4667
illinois,Illinois,2004,1.24,0.32,0.67,2.22,293.9259,63.5039,139.1079,473.6
illinois,Illinois,2005,1.23,0.34,0.71,2.29,291.5556,67.4729,147.4128,488.5333
illinois,Illinois,2006,1.24,0.37,0.74,2.35,293.9259,73.4264,153.6415,501.3333
illinois,Illinois,2007,1.24,0.41,0.74,2.38,293.9259,81.3643,153.6415,507.7333
illinois,Illinois,2008,1.23,0.38,0.74,2.34,291.5556,75.4109,153.6415,499.2
illinois,Illinois,2009,1.24,0.39,0.73,2.36,293.9259,77.3953,151.5653,503.4667
illinois,Illinois,2010,1.22,0.4,0.74,2.35,289.1852,79.3798,153.6415,501.3333
illinois,Illinois,2011,1.19,0.41,0.75,2.35,282.0741,81.3643,155.7178,501.3333
illinois,Illinois,2012,1.15,0.43,0.77,2.35,272.5926,85.3333,159.8702,501.3333
illinois,Illinois,2013,1.13,0.42,0.77,2.33,267.8519,83.3488,159.8702,497.0667
illinois,Illinois,2014,1.12,0.42,0.78,2.32,265.4815,83.3488,161.9465,494.9333
illinois,Illinois,2015,1.12,0.43,0.8,2.36,265.4815,85.3333,166.0989,503.4667
illinois,Illinois,2016,1.12,0.43,0.77,2.31,265.4815,85.3333,159.8702,492.8
illinois,Illinois,2017,1.1,0.45,0.83,2.38,260.7407,89.3023,172.3277,507.7333
illinois,Illinois,2018,1.08,0.45,0.85,2.39,256.0,89.3023,176.4801,509.8667
illinois,Illinois,2019,1.07,0.46,0.88,2.41,253.6296,91.2868,182.7088,514.1333
illinois,Illinois,2020,1.03,0.47,0.89,2.39,244.1481,93.2713,184.7851,509.8667
illinois,Illinois,2021,1.04,0.48,0.95,2.47,246.5185,95.2558,197.2425,526.9333
illinois,Illinois,2022,1.0,0.48,0.94,2.42,237.037,95.2558,195.1663,516.2667
illinois,Illinois,2023,0.97,0.49,0.93,2.39,229.9259,97.2403,193.09,509.8667
indiana,Indiana,1977,1.13,0.14,0.77,2.03,267.8519,27.7829,159.8702,433.0667
indiana,Indiana,1978,1.18,0.15,0.78,2.12,279.7037,29.7674,161.9465,452.2667
indiana,Indiana,1979,1.21,0.15,0.78,2.15,286.8148,29.7674,161.9465,458.6667
indiana,Indiana,1980,1.26,0.17,0.77,2.21,298.6667,33.7364,159.8702,471.4667
indiana,Indiana,1981,1.29,0.18,0.78,2.24,305.7778,35.7209,161.9465,477.8667
indiana,Indiana,1982,1.29,0.19,0.76,2.24,305.7778,37.7054,157.794,477.8667
indiana,Indiana,1983,1.28,0.19,0.73,2.2,303.4074,37.7054,151.5653,469.3333
indiana,Indiana,1984,1.27,0.21,0.73,2.21,301.037,41.6744,151.5653,471.4667
indiana,Indiana,1985,1.26,0.22,0.73,2.2,298.6667,43.6589,151.5653,469.3333
indiana,Indiana,1986,1.26,0.23,0.67,2.17,298.6667,45.6434,139.1079,462.9333
indiana,Indiana,1987,1.26,0.23,0.67,2.16,298.6667,45.6434,139.1079,460.8
indiana,Indiana,1988,1.25,0.21,0.67,2.13,296.2963,41.6744,139.1079,454.4
indiana,Indiana,1989,1.23,0.2,0.64,2.07,291.5556,39.6899,132.8792,441.6
indiana,Indiana,1990,1.26,0.2,0.63,2.09,298.6667,39.6899,130.8029,445.8667
indiana,Indiana,1991,1.22,0.19,0.6,2.0,289.1852,37.7054,124.5742,426.6667
indiana,Indiana,1992,1.16,0.2,0.58,1.95,274.963,39.6899,120.4217,416.0
indiana,Indiana,1993,1.15,0.19,0.64,1.98,272.5926,37.7054,132.8792,422.4
indiana,Indiana,1994,1.15,0.2,0.59,1.94,272.5926,39.6899,122.498,413.8667
indiana,Indiana,1995,1.14,0.2,0.58,1.92,270.2222,39.6899,120.4217,409.6
indiana,Indiana,1996,1.09,0.2,0.57,1.86,258.3704,39.6899,118.3455,396.8
indiana,Indiana,1997,1.09,0.18,0.59,1.85,258.3704,35.7209,122.498,394.6667
indiana,Indiana,1998,1.14,0.19,0.58,1.91,270.2222,37.7054,120.4217,407.4667
indiana,Indiana,1999,1.16,0.19,0.59,1.94,274.963,37.7054,122.498,413.8667
indiana,Indiana,2000,1.16,0.2,0.61,1.98,274.963,39.6899,126.6504,422.4
indiana,Indiana,2001,1.15,0.19,0.62,1.96,272.5926,37.7054,128.7267,418.1333
indiana,Indiana,2002,1.13,0.2,0.6,1.93,267.8519,39.6899,124.5742,411.7333
indiana,Indiana,2003,1.11,0.21,0.64,1.96,263.1111,41.6744,132.8792,418.1333
indiana,Indiana,2004,1.14,0.22,0.65,2.01,270.2222,43.6589,134.9554,428.8
indiana,Indiana,2005,1.11,0.22,0.68,2.01,263.1111,43.6589,141.1841,428.8
indiana,Indiana,2006,1.09,0.25,0.66,2.0,258.3704,49.6124,137.0316,426.6667
indiana,Indiana,2007,1.13,0.24,0.72,2.09,267.8519,47.6279,149.4891,445.8667
indiana,Indiana,2008,1.1,0.24,0.73,2.08,260.7407,47.6279,151.5653,443.7333
indiana,Indiana,2009,1.08,0.25,0.72,2.05,256.0,49.6124,149.4891,437.3333
indiana,Indiana,2010,1.03,0.26,0.74,2.03,244.1481,51.5969,153.6415,433.0667
indiana,Indiana,2011,1.02,0.27,0.73,2.02,241.7778,53.5814,151.5653,430.9333
indiana,Indiana,2012,1.02,0.28,0.79,2.08,241.7778,55.5659,164.0227,443.7333
indiana,Indiana,2013,1.0,0.28,0.81,2.09,237.037,55.5659,168.1752,445.8667
indiana,Indiana,2014,0.98,0.27,0.8,2.05,232.2963,53.5814,166.0989,437.3333
indiana,Indiana,2015,0.98,0.28,0.88,2.14,232.2963,55.5659,182.7088,456.5333
indiana,Indiana,2016,0.98,0.29,0.89,2.17,232.2963,57.5504,184.7851,462.9333
indiana,Indiana,2017,0.97,0.29,0.85,2.11,229.9259,57.5504,176.4801,450.1333
indiana,Indiana,2018,0.96,0.29,0.9,2.15,227.5556,57.5504,186.8613,458.6667
indiana,Indiana,2019,0.96,0.3,0.94,2.2,227.5556,59.5349,195.1663,469.3333
indiana,Indiana,2020,0.94,0.33,1.06,2.33,222.8148,65.4884,220.0811,497.0667
indiana,Indiana,2021,0.95,0.33,1.04,2.32,225.1852,65.4884,215.9286,494.9333
indiana,Indiana,2022,0.95,0.36,1.01,2.32,225.1852,71.4419,209.6999,494.9333
indiana,Indiana,2023,0.85,0.35,1.02,2.23,201.4815,69.4574,211.7762,475.7333
iowa,Iowa,1977,1.33,0.1,0.74,2.17,315.2593,19.845,153.6415,462.9333
iowa,Iowa,1978,1.38,0.11,0.74,2.23,327.1111,21.8295,153.6415,475.7333
iowa,Iowa,1979,1.4,0.11,0.71,2.22,331.8519,21.8295,147.4128,473.6
iowa,Iowa,1980,1.41,0.13,0.71,2.25,334.2222,25.7984,147.4128,480.0
iowa,Iowa,1981,1.44,0.13,0.69,2.26,341.3333,25.7984,143.2603,482.1333
iowa,Iowa,1982,1.4,0.13,0.65,2.19,331.8519,25.7984,134.9554,467.2
iowa,Iowa,1983,1.4,0.13,0.65,2.18,331.8519,25.7984,134.9554,465.0667
iowa,Iowa,1984,1.39,0.12,0.62,2.13,329.4815,23.814,128.7267,454.4
iowa,Iowa,1985,1.33,0.14,0.58,2.06,315.2593,27.7829,120.4217,439.4667
iowa,Iowa,1986,1.35,0.2,0.54,2.09,320.0,39.6899,112.1168,445.8667
iowa,Iowa,1987,1.34,0.22,0.59,2.14,317.6296,43.6589,122.498,456.5333
iowa,Iowa,1988,1.32,0.2,0.53,2.06,312.8889,39.6899,110.0406,439.4667
iowa,Iowa,1989,1.3,0.19,0.52,2.01,308.1481,37.7054,107.9643,428.8
iowa,Iowa,1990,1.34,0.18,0.54,2.06,317.6296,35.7209,112.1168,439.4667
iowa,Iowa,1991,1.32,0.16,0.52,2.01,312.8889,31.7519,107.9643,428.8
iowa,Iowa,1992,1.31,0.13,0.46,1.9,310.5185,25.7984,95.5069,405.3333
iowa,Iowa,1993,1.28,0.11,0.48,1.87,303.4074,21.8295,99.6594,398.9333
iowa,Iowa,1994,1.3,0.1,0.44,1.84,308.1481,19.845,91.3544,392.5333
iowa,Iowa,1995,1.26,0.11,0.44,1.8,298.6667,21.8295,91.3544,384.0
iowa,Iowa,1996,1.28,0.12,0.45,1.85,303.4074,23.814,93.4307,394.6667
iowa,Iowa,1997,1.28,0.12,0.45,1.85,303.4074,23.814,93.4307,394.6667
iowa,Iowa,1998,1.31,0.12,0.46,1.9,310.5185,23.814,95.5069,405.3333
iowa,Iowa,1999,1.34,0.13,0.48,1.95,317.6296,25.7984,99.6594,416.0
iowa,Iowa,2000,1.35,0.13,0.5,1.98,320.0,25.7984,103.8118,422.4
iowa,Iowa,2001,1.36,0.13,0.5,1.99,322.3704,25.7984,103.8118,424.5333
iowa,Iowa,2002,1.38,0.14,0.51,2.04,327.1111,27.7829,105.8881,435.2
iowa,Iowa,2003,1.38,0.15,0.54,2.07,327.1111,29.7674,112.1168,441.6
iowa,Iowa,2004,1.39,0.16,0.57,2.12,329.4815,31.7519,118.3455,452.2667
iowa,Iowa,2005,1.4,0.16,0.61,2.16,331.8519,31.7519,126.6504,460.8
iowa,Iowa,2006,1.39,0.16,0.65,2.2,329.4815,31.7519,134.9554,469.3333
iowa,Iowa,2007,1.41,0.17,0.67,2.25,334.2222,33.7364,139.1079,480.0
iowa,Iowa,2008,1.43,0.17,0.7,2.3,338.963,33.7364,145.3366,490.6667
iowa,Iowa,2009,1.42,0.18,0.72,2.31,336.5926,35.7209,149.4891,492.8
iowa,Iowa,2010,1.39,0.18,0.73,2.3,329.4815,35.7209,151.5653,490.6667
iowa,Iowa,2011,1.38,0.21,0.78,2.37,327.1111,41.6744,161.9465,505.6
iowa,Iowa,2012,1.36,0.23,0.81,2.4,322.3704,45.6434,168.1752,512.0
iowa,Iowa,2013,1.33,0.22,0.79,2.34,315.2593,43.6589,164.0227,499.2
iowa,Iowa,2014,1.34,0.21,0.81,2.37,317.6296,41.6744,168.1752,505.6
iowa,Iowa,2015,1.31,0.22,0.83,2.36,310.5185,43.6589,172.3277,503.4667
iowa,Iowa,2016,1.3,0.23,0.87,2.4,308.1481,45.6434,180.6326,512.0
iowa,Iowa,2017,1.27,0.24,0.89,2.4,301.037,47.6279,184.7851,512.0
iowa,Iowa,2018,1.24,0.23,0.92,2.39,293.9259,45.6434,191.0138,509.8667
iowa,Iowa,2019,1.24,0.23,0.92,2.38,293.9259,45.6434,191.0138,507.7333
iowa,Iowa,2020,1.25,0.23,1.0,2.48,296.2963,45.6434,207.6237,529.0667
iowa,Iowa,2021,1.24,0.23,1.02,2.49,293.9259,45.6434,211.7762,531.2
iowa,Iowa,2022,1.19,0.22,0.99,2.39,282.0741,43.6589,205.5474,509.8667
iowa,Iowa,2023,1.16,0.2,0.97,2.33,274.963,39.6899,201.395,497.0667
kansas,Kansas,1977,1.14,0.1,0.65,1.9,270.2222,19.845,134.9554,405.3333
kansas,Kansas,1978,1.15,0.12,0.65,1.91,272.5926,23.814,134.9554,407.4667
kansas,Kansas,1979,1.19,0.12,0.74,2.04,282.0741,23.814,153.6415,435.2
kansas,Kansas,1980,1.22,0.11,0.61,1.95,289.1852,21.8295,126.6504,416.0
kansas,Kansas,1981,1.23,0.12,0.7,2.05,291.5556,23.814,145.3366,437.3333
kansas,Kansas,1982,1.22,0.13,0.67,2.03,289.1852,25.7984,139.1079,433.0667
kansas,Kansas,1983,1.2,0.13,0.64,1.97,284.4444,25.7984,132.8792,420.2667
kansas,Kansas,1984,1.19,0.14,0.63,1.96,282.0741,27.7829,130.8029,418.1333
kansas,Kansas,1985,1.18,0.15,0.64,1.97,279.7037,29.7674,132.8792,420.2667
kansas,Kansas,1986,1.14,0.17,0.6,1.91,270.2222,33.7364,124.5742,407.4667
kansas,Kansas,1987,1.14,0.17,0.57,1.88,270.2222,33.7364,118.3455,401.0667
kansas,Kansas,1988,1.13,0.22,0.57,1.92,267.8519,43.6589,118.3455,409.6
kansas,Kansas,1989,1.13,0.13,0.55,1.81,267.8519,25.7984,114.193,386.1333
kansas,Kansas,1990,1.13,0.13,0.53,1.79,267.8519,25.7984,110.0406,381.8667
kansas,Kansas,1991,1.15,0.14,0.57,1.85,272.5926,27.7829,118.3455,394.6667
kansas,Kansas,1992,1.09,0.14,0.55,1.78,258.3704,27.7829,114.193,379.7333
kansas,Kansas,1993,1.09,0.14,0.52,1.75,258.3704,27.7829,107.9643,373.3333
kansas,Kansas,1994,1.12,0.13,0.48,1.73,265.4815,25.7984,99.6594,369.0667
kansas,Kansas,1995,1.04,0.12,0.5,1.66,246.5185,23.814,103.8118,354.1333
kansas,Kansas,1996,1.04,0.12,0.49,1.65,246.5185,23.814,101.7356,352.0
kansas,Kansas,1997,1.08,0.12,0.48,1.67,256.0,23.814,99.6594,356.2667
kansas,Kansas,1998,1.08,0.13,0.54,1.76,256.0,25.7984,112.1168,375.4667
kansas,Kansas,1999,1.12,0.15,0.54,1.81,265.4815,29.7674,112.1168,386.1333
kansas,Kansas,2000,1.13,0.15,0.53,1.82,267.8519,29.7674,110.0406,388.2667
kansas,Kansas,2001,1.12,0.15,0.53,1.8,265.4815,29.7674,110.0406,384.0
kansas,Kansas,2002,1.19,0.15,0.54,1.88,282.0741,29.7674,112.1168,401.0667
kansas,Kansas,2003,1.16,0.17,0.56,1.89,274.963,33.7364,116.2693,403.2
kansas,Kansas,2004,1.14,0.16,0.56,1.86,270.2222,31.7519,116.2693,396.8
kansas,Kansas,2005,1.14,0.18,0.57,1.89,270.2222,35.7209,118.3455,403.2
kansas,Kansas,2006,1.14,0.18,0.61,1.94,270.2222,35.7209,126.6504,413.8667
kansas,Kansas,2007,1.17,0.15,0.64,1.96,277.3333,29.7674,132.8792,418.1333
kansas,Kansas,2008,1.22,0.14,0.65,2.01,289.1852,27.7829,134.9554,428.8
kansas,Kansas,2009,1.18,0.14,0.67,1.99,279.7037,27.7829,139.1079,424.5333
kansas,Kansas,2010,1.13,0.14,0.68,1.95,267.8519,27.7829,141.1841,416.0
kansas,Kansas,2011,1.07,0.14,0.69,1.9,253.6296,27.7829,143.2603,405.3333
kansas,Kansas,2012,1.09,0.14,0.72,1.95,258.3704,27.7829,149.4891,416.0
kansas,Kansas,2013,0.99,0.14,0.76,1.88,234.6667,27.7829,157.794,401.0667
kansas,Kansas,2014,1.04,0.14,0.75,1.93,246.5185,27.7829,155.7178,411.7333
kansas,Kansas,2015,1.03,0.14,0.74,1.91,244.1481,27.7829,153.6415,407.4667
kansas,Kansas,2016,1.02,0.14,0.75,1.92,241.7778,27.7829,155.7178,409.6
kansas,Kansas,2017,1.03,0.14,0.8,1.98,244.1481,27.7829,166.0989,422.4
kansas,Kansas,2018,0.99,0.14,0.79,1.92,234.6667,27.7829,164.0227,409.6
kansas,Kansas,2019,1.02,0.14,0.82,1.98,241.7778,27.7829,170.2514,422.4
kansas,Kansas,2020,1.07,0.14,0.89,2.11,253.6296,27.7829,184.7851,450.1333
kansas,Kansas,2021,1.11,0.15,0.93,2.19,263.1111,29.7674,193.09,467.2
kansas,Kansas,2022,1.06,0.15,0.99,2.21,251.2593,29.7674,205.5474,471.4667
kansas,Kansas,2023,1.03,0.15,0.95,2.13,244.1481,29.7674,197.2425,454.4
kentucky,Kentucky,1977,1.16,0.09,0.73,1.98,274.963,17.8605,151.5653,422.4
kentucky,Kentucky,1978,1.04,0.09,0.75,1.88,246.5185,17.8605,155.7178,401.0667
kentucky,Kentucky,1979,1.07,0.09,0.75,1.91,253.6296,17.8605,155.7178,407.4667
kentucky,Kentucky,1980,1.08,0.1,0.73,1.91,256.0,19.845,151.5653,407.4667
kentucky,Kentucky,1981,1.13,0.1,0.75,1.99,267.8519,19.845,155.7178,424.5333
kentucky,Kentucky,1982,1.14,0.12,0.72,1.99,270.2222,23.814,149.4891,424.5333
kentucky,Kentucky,1983,1.13,0.12,0.7,1.95,267.8519,23.814,145.3366,416.0
kentucky,Kentucky,1984,1.06,0.13,0.68,1.87,251.2593,25.7984,141.1841,398.9333
kentucky,Kentucky,1985,1.08,0.14,0.66,1.88,256.0,27.7829,137.0316,401.0667
kentucky,Kentucky,1986,1.1,0.14,0.63,1.86,260.7407,27.7829,130.8029,396.8
kentucky,Kentucky,1987,1.04,0.14,0.6,1.78,246.5185,27.7829,124.5742,379.7333
kentucky,Kentucky,1988,1.1,0.12,0.6,1.82,260.7407,23.814,124.5742,388.2667
kentucky,Kentucky,1989,1.09,0.12,0.57,1.79,258.3704,23.814,118.3455,381.8667
kentucky,Kentucky,1990,1.12,0.11,0.6,1.83,265.4815,21.8295,124.5742,390.4
kentucky,Kentucky,1991,1.11,0.11,0.56,1.78,263.1111,21.8295,116.2693,379.7333
kentucky,Kentucky,1992,1.04,0.11,0.56,1.71,246.5185,21.8295,116.2693,364.8
kentucky,Kentucky,1993,1.08,0.1,0.55,1.73,256.0,19.845,114.193,369.0667
kentucky,Kentucky,1994,1.08,0.11,0.55,1.73,256.0,21.8295,114.193,369.0667
kentucky,Kentucky,1995,1.06,0.11,0.54,1.71,251.2593,21.8295,112.1168,364.8
kentucky,Kentucky,1996,1.09,0.13,0.54,1.76,258.3704,25.7984,112.1168,375.4667
kentucky,Kentucky,1997,1.07,0.13,0.53,1.72,253.6296,25.7984,110.0406,366.9333
kentucky,Kentucky,1998,1.08,0.13,0.53,1.74,256.0,25.7984,110.0406,371.2
kentucky,Kentucky,1999,1.07,0.13,0.54,1.74,253.6296,25.7984,112.1168,371.2
kentucky,Kentucky,2000,1.07,0.14,0.53,1.74,253.6296,27.7829,110.0406,371.2
kentucky,Kentucky,2001,1.04,0.12,0.46,1.63,246.5185,23.814,95.5069,347.7333
kentucky,Kentucky,2002,1.08,0.14,0.54,1.77,256.0,27.7829,112.1168,377.6
kentucky,Kentucky,2003,1.03,0.15,0.57,1.75,244.1481,29.7674,118.3455,373.3333
kentucky,Kentucky,2004,1.07,0.17,0.57,1.81,253.6296,33.7364,118.3455,386.1333
kentucky,Kentucky,2005,1.04,0.14,0.61,1.8,246.5185,27.7829,126.6504,384.0
kentucky,Kentucky,2006,1.04,0.17,0.62,1.82,246.5185,33.7364,128.7267,388.2667
kentucky,Kentucky,2007,1.04,0.17,0.63,1.85,246.5185,33.7364,130.8029,394.6667
kentucky,Kentucky,2008,1.03,0.17,0.65,1.85,244.1481,33.7364,134.9554,394.6667
kentucky,Kentucky,2009,1.02,0.18,0.65,1.85,241.7778,35.7209,134.9554,394.6667
kentucky,Kentucky,2010,1.0,0.18,0.66,1.83,237.037,35.7209,137.0316,390.4
kentucky,Kentucky,2011,0.94,0.19,0.66,1.79,222.8148,37.7054,137.0316,381.8667
kentucky,Kentucky,2012,0.97,0.2,0.7,1.87,229.9259,39.6899,145.3366,398.9333
kentucky,Kentucky,2013,0.95,0.2,0.7,1.85,225.1852,39.6899,145.3366,394.6667
kentucky,Kentucky,2014,0.94,0.21,0.72,1.88,222.8148,41.6744,149.4891,401.0667
kentucky,Kentucky,2015,0.99,0.22,0.76,1.97,234.6667,43.6589,157.794,420.2667
kentucky,Kentucky,2016,0.96,0.22,0.79,1.98,227.5556,43.6589,164.0227,422.4
kentucky,Kentucky,2017,0.94,0.21,0.82,1.97,222.8148,41.6744,170.2514,420.2667
kentucky,Kentucky,2018,0.93,0.22,0.81,1.95,220.4444,43.6589,168.1752,416.0
kentucky,Kentucky,2019,0.88,0.23,0.91,2.02,208.5926,45.6434,188.9376,430.9333
kentucky,Kentucky,2020,0.9,0.24,0.97,2.12,213.3333,47.6279,201.395,452.2667
kentucky,Kentucky,2021,0.97,0.24,1.05,2.25,229.9259,47.6279,218.0049,480.0
kentucky,Kentucky,2022,0.93,0.22,1.06,2.21,220.4444,43.6589,220.0811,471.4667
kentucky,Kentucky,2023,0.87,0.21,1.06,2.14,206.2222,41.6744,220.0811,456.5333
louisiana,Louisiana,1977,1.27,0.25,1.0,2.51,301.037,49.6124,207.6237,535.4667
louisiana,Louisiana,1978,1.32,0.25,1.04,2.6,312.8889,49.6124,215.9286,554.6667
louisiana,Louisiana,1979,1.32,0.25,1.04,2.61,312.8889,49.6124,215.9286,556.8
louisiana,Louisiana,1980,1.4,0.27,1.03,2.7,331.8519,53.5814,213.8524,576.0
louisiana,Louisiana,1981,1.49,0.28,1.02,2.79,353.1852,55.5659,211.7762,595.2
louisiana,Louisiana,1982,1.49,0.3,1.0,2.78,353.1852,59.5349,207.6237,593.0667
louisiana,Louisiana,1983,1.44,0.31,1.03,2.77,341.3333,61.5194,213.8524,590.9333
louisiana,Louisiana,1984,1.42,0.29,0.95,2.66,336.5926,57.5504,197.2425,567.4667
louisiana,Louisiana,1985,1.37,0.28,0.87,2.52,324.7407,55.5659,180.6326,537.6
louisiana,Louisiana,1986,1.42,0.26,0.79,2.47,336.5926,51.5969,164.0227,526.9333
louisiana,Louisiana,1987,1.4,0.25,0.77,2.41,331.8519,49.6124,159.8702,514.1333
louisiana,Louisiana,1988,1.49,0.24,0.71,2.44,353.1852,47.6279,147.4128,520.5333
louisiana,Louisiana,1989,1.47,0.24,0.74,2.45,348.4444,47.6279,153.6415,522.6667
louisiana,Louisiana,1990,1.53,0.23,0.78,2.54,362.6667,45.6434,161.9465,541.8667
louisiana,Louisiana,1991,1.52,0.21,0.73,2.46,360.2963,41.6744,151.5653,524.8
louisiana,Louisiana,1992,1.55,0.22,0.74,2.51,367.4074,43.6589,153.6415,535.4667
louisiana,Louisiana,1993,1.53,0.21,0.72,2.47,362.6667,41.6744,149.4891,526.9333
louisiana,Louisiana,1994,1.45,0.21,0.73,2.39,343.7037,41.6744,151.5653,509.8667
louisiana,Louisiana,1995,1.51,0.21,0.73,2.46,357.9259,41.6744,151.5653,524.8
louisiana,Louisiana,1996,1.52,0.22,0.72,2.46,360.2963,43.6589,149.4891,524.8
louisiana,Louisiana,1997,1.51,0.23,0.71,2.44,357.9259,45.6434,147.4128,520.5333
louisiana,Louisiana,1998,1.48,0.23,0.7,2.4,350.8148,45.6434,145.3366,512.0
louisiana,Louisiana,1999,1.52,0.24,0.69,2.45,360.2963,47.6279,143.2603,522.6667
louisiana,Louisiana,2000,1.51,0.22,0.7,2.44,357.9259,43.6589,145.3366,520.5333
louisiana,Louisiana,2001,1.49,0.23,0.69,2.41,353.1852,45.6434,143.2603,514.1333
louisiana,Louisiana,2002,1.32,0.24,0.7,2.26,312.8889,47.6279,145.3366,482.1333
louisiana,Louisiana,2003,1.41,0.25,0.72,2.38,334.2222,49.6124,149.4891,507.7333
louisiana,Louisiana,2004,1.38,0.26,0.73,2.36,327.1111,51.5969,151.5653,503.4667
louisiana,Louisiana,2005,1.47,0.24,0.71,2.41,348.4444,47.6279,147.4128,514.1333
louisiana,Louisiana,2006,1.59,0.25,0.78,2.63,376.8889,49.6124,161.9465,561.0667
louisiana,Louisiana,2007,1.57,0.27,0.81,2.66,372.1481,53.5814,168.1752,567.4667
louisiana,Louisiana,2008,1.55,0.26,0.83,2.64,367.4074,51.5969,172.3277,563.2
louisiana,Louisiana,2009,1.5,0.28,0.85,2.63,355.5556,55.5659,176.4801,561.0667
louisiana,Louisiana,2010,1.42,0.28,0.84,2.55,336.5926,55.5659,174.4039,544.0
louisiana,Louisiana,2011,1.39,0.3,0.88,2.57,329.4815,59.5349,182.7088,548.2667
louisiana,Louisiana,2012,1.38,0.32,0.9,2.59,327.1111,63.5039,186.8613,552.5333
louisiana,Louisiana,2013,1.34,0.32,0.93,2.59,317.6296,63.5039,193.09,552.5333
louisiana,Louisiana,2014,1.3,0.33,0.96,2.59,308.1481,65.4884,199.3187,552.5333
louisiana,Louisiana,2015,1.27,0.33,0.98,2.59,301.037,65.4884,203.4712,552.5333
louisiana,Louisiana,2016,1.25,0.34,1.0,2.59,296.2963,67.4729,207.6237,552.5333
louisiana,Louisiana,2017,1.24,0.34,1.0,2.57,293.9259,67.4729,207.6237,548.2667
louisiana,Louisiana,2018,1.23,0.34,0.99,2.55,291.5556,67.4729,205.5474,544.0
louisiana,Louisiana,2019,1.22,0.33,1.01,2.56,289.1852,65.4884,209.6999,546.1333
louisiana,Louisiana,2020,1.24,0.34,1.01,2.59,293.9259,67.4729,209.6999,552.5333
louisiana,Louisiana,2021,1.26,0.34,1.16,2.76,298.6667,67.4729,240.8435,588.8
louisiana,Louisiana,2022,1.24,0.33,1.21,2.78,293.9259,65.4884,251.2247,593.0667
louisiana,Louisiana,2023,1.21,0.32,1.17,2.69,286.8148,63.5039,242.9197,573.8667
maine,Maine,1977,1.35,0.23,1.02,2.6,320.0,45.6434,211.7762,554.6667
maine,Maine,1978,1.28,0.26,1.03,2.57,303.4074,51.5969,213.8524,548.2667
maine,Maine,1979,1.27,0.27,1.05,2.59,301.037,53.5814,218.0049,552.5333
maine,Maine,1980,1.32,0.28,1.06,2.66,312.8889,55.5659,220.0811,567.4667
